,pdbid,-logKd/Ki,resolution
0,3zzf,0.4,2.2
1,3gww,0.45,2.46
2,1w8l,0.49,1.8
3,3fqa,0.49,2.35
4,1zsb,0.6,2
5,6h9v,0.66,1.52
6,4obv,0.75,2.84
7,1wkm,0.82,2.3
8,3k41,0.82,1.9
9,4eu3,0.82,1.58
10,2w97,0.96,2.29
11,1p0y,1,2.55
12,2b1r,1,2.2
13,2d2v,1,2.5
14,1aw1,1.05,2.7
15,1maw,1.1,3
16,3fl9,1.11,2.4
17,5eb2,1.11,2.71
18,4lh2,1.24,1.67
19,4to8,1.24,2.1
20,4fci,1.26,1.82
21,4fck,1.26,1.9
22,4clp,1.27,1.9
23,1f9g,1.28,2
24,1a0t,1.3,2.4
25,1b74,1.3,2.3
26,2fah,1.3,2.09
27,5oxm,1.3,2.3
28,2igw,1.31,1.78
29,5mnc,1.31,0.92
30,5mny,1.31,1.43
31,5moo,1.31,1.44
32,2vl1,1.35,2.15
33,3nm6,1.35,1.6
34,1qpb,1.36,2.4
35,6k2n,1.36,1.8
36,1hty,1.4,1.4
37,1o4l,1.4,1.65
38,1o4m,1.4,1.6
39,1o4n,1.4,1.6
40,2hdq,1.4,2.1
41,3eor,1.4,2.9
42,3.00E+81,1.43,1.63
43,1ozv,1.44,2.65
44,1utp,1.44,1.3
45,5eb3,1.45,2.4
46,1tnk,1.49,1.8
47,4bh4,1.49,1.9
48,5vqe,1.49,1.89
49,4lh3,1.52,1.81
50,5ct1,1.52,2
51,5ele,1.52,1.6
52,3mwe,1.54,2.2
53,4amw,1.55,1.9
54,1iig,1.57,2.6
55,3rup,1.57,1.99
56,5cs5,1.58,1.9
57,5ofv,1.58,1.5
58,2b1q,1.59,2.2
59,1w8m,1.6,1.65
60,3itc,1.6,1.7
61,2it4,1.62,2
62,5k5c,1.62,1.85
63,1a7t,1.64,1.85
64,4d63,1.64,2.2
65,1hgj,1.66,2.7
66,1rdj,1.66,1.8
67,2o9r,1.68,2.3
68,4qsw,1.68,1.8
69,2sfp,1.7,1.9
70,3gf2,1.7,1.8
71,3oay,1.7,1.95
72,4tyb,1.7,2.93
73,6cex,1.7,2.57
74,6cf5,1.7,2.04
75,3g6m,1.71,1.65
76,2hdr,1.72,2.2
77,3ern,1.72,2.1
78,3vzg,1.72,2.7
79,3zst,1.72,2.3
80,5y61,1.72,2.99
81,1u2y,1.74,1.95
82,4qsx,1.74,1.93
83,5y62,1.74,3
84,5ggj,1.75,1.42
85,5zef,1.75,2.01
86,4bgx,1.77,2.48
87,3f39,1.78,1.85
88,5ggl,1.78,1.27
89,2zgm,1.79,1.9
90,1ga8,1.8,2
91,3rxh,1.8,1.7
92,1af6,1.82,2.4
93,1bra,1.82,2.2
94,1d5r,1.82,2.1
95,1y1m,1.82,1.8
96,3eqb,1.82,2.62
97,4ahv,1.82,1.8
98,1rdn,1.84,1.8
99,1fd7,1.85,1.8
100,3khv,1.85,2.35
101,1mwt,1.88,2.45
102,1tnl,1.88,1.9
103,2ay2,1.88,2.4
104,4x8s,1.89,2.1
105,1f2p,1.9,1.8
106,4mrh,1.9,1.12
107,1f2o,1.91,1.7
108,1efi,1.92,1.6
109,3ehn,1.92,2.8
110,4bh3,1.92,2
111,2rjr,1.94,2.1
112,5nn4,1.94,1.83
113,4mrf,1.95,1.55
114,6abk,1.95,1.58
115,1tnj,1.96,1.8
116,2gga,1.96,1.7
117,5oxn,1.96,2.2
118,1wdq,1.98,1.28
119,6h7u,1.98,2.8
120,6hzp,1.98,2.5
121,3i3d,1.99,2.2
122,1gbt,2,2
123,1ing,2,2.4
124,2bmv,2,2.11
125,2hds,2,1.16
126,2r58,2,2
127,3c2f,2,2.35
128,3g2y,2,1.31
129,3pce,2,2.06
130,3rv3,2,1.91
131,4awj,2,2.5
132,4ctk,2,1.53
133,4kz5,2,1.35
134,4qsu,2,1.9
135,4qsv,2,1.9
136,4u58,2,2.56
137,4y4g,2,1.44
138,6evq,2,NMR
139,6ra1,2,2
140,4ty8,2.03,2.78
141,5ekx,2.03,1.76
142,5nzq,2.03,1.5
143,2ks9,2.04,NMR
144,1jfh,2.05,2.03
145,4e4a,2.05,1.45
146,4ty9,2.05,2.78
147,4x8t,2.05,2.2
148,5eiw,2.05,1.61
149,1qq9,2.06,1.53
150,1rdi,2.06,1.8
